Calendar Year,Property ID,Property Adress,Property ZIP Code,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Indoor Water Use (All Water Sources) (kgal),Borough,Latitude,Longitude,Community Board,Borough_CommBoard
2022,25972144,361 Maple St.,11225,1928,8,134,3654979.3,2593.9,BROOKLYN,40.660944,-73.948908,309,BROOKLYN_309
2022,26582866,83-96 118TH ST.,11415,1960,81,78.6,2427510.5,1308.3,QUEENS,40.704364,-73.833818,409,QUEENS_409
2022,26598855,100 Colfax Ave. NY,10306,1961,74,73.6,12276268.3,6484.6,STATEN IS,40.579906,-74.107779,502,STATEN IS_502
2022,26636235,315-317 16th Street,11215,2008,52,81.2,2179385,974.1,BROOKLYN,40.663131,-73.986,307,BROOKLYN_307
2022,26661147,302 Convent Ave,10031,1912,93,61.6,3646487,,MANHATTAN,40.822848,-73.947552,109,MANHATTAN_109
2022,26661866,245 East 44th Street,10017,1986,63,71.2,12098980.1,,MANHATTAN,40.751633,-73.972458,106,MANHATTAN_106
2022,26670483,"58 Avenue A,",10009,2000,59,85.6,6503995.8,,MANHATTAN,40.724344,-73.984768,103,MANHATTAN_103
2022,26678903,49 West 116 st,10026,2000,20,60.5,26156122,,MANHATTAN,40.801535,-73.948497,110,MANHATTAN_110
2022,6167929,9-21 Brighton 1st Road,11235,1937,68,104.2,5075063.5,5196,BROOKLYN,40.576238,-73.966439,313,BROOKLYN_313
2022,2747097,1001-1005 E. Tremont Ave.,10460,1972,25,94.3,8717236.3,,BRONX,40.840598,-73.881354,206,BRONX_206
2022,2747744,999 East Tremont Avenue,10460,1972,37,93.4,3953479.5,,BRONX,40.840769,-73.881697,206,BRONX_206
2022,2747847,1001-1005 East 178th Street,10460,1972,94,51.9,9408868.3,,BRONX,40.841528,-73.88068,206,BRONX_206
2022,2772761,2075 Walton Avenue,10453,1927,87,67.2,3622392.4,5049.3,BRONX,40.854089,-73.905903,205,BRONX_205
2022,2772874,54 Evelyn Place,10468,1925,27,109,5823988.5,7717.7,BRONX,40.859814,-73.905851,207,BRONX_207
2022,2772897,950 Jennings Street,10460,1998,87,56.5,5928024.3,6725,BRONX,40.831924,-73.889337,203,BRONX_203
2022,2772905,2111 Hughes Avenue,10457,1998,49,100,5636078.3,6554.2,BRONX,40.849329,-73.890233,206,BRONX_206
2022,2772972,2130 Crotona Avenue,10457,1998,55,95,5717602.5,,BRONX,40.849193,-73.887812,206,BRONX_206
2022,2772976,321 East 198th Street,10458,2009,80,63.7,4617113.9,3117.1,BRONX,40.868051,-73.887776,207,BRONX_207
2022,2773012,323 East 198th Street,10458,1931,100,32,2241481.3,3197.7,BRONX,40.867854,-73.887563,207,BRONX_207
2022,2773017,325 East 198th Street,10458,2009,69,73.1,5302086.5,3151.5,BRONX,40.867815,-73.88752,207,BRONX_207
2022,3116352,21 West Mosholu Pkwy North,10467,1923,90,65.6,3536813.7,2635.9,BRONX,40.881442,-73.88438,207,BRONX_207
2022,3117638,2323 Walton Avenue,10468,1928,58,92.8,6794978.4,,BRONX,40.859158,-73.90232,205,BRONX_205
2022,5846549,1 West Farms Square Plaza,10460,1972,52,86.5,46094277.4,46112.9,BRONX,40.841095,-73.881107,206,BRONX_206
2022,5853361,999 East 178th Street,10460,1972,38,105.2,10416873,,BRONX,40.84163,-73.880914,206,BRONX_206
2022,5853416,1000 - 1010 East 179th Street (Building 7&8),10460,1972,89,55.9,9236660.9,23000.4,BRONX,40.841985,-73.879761,206,BRONX_206
2022,6220285,100 East 182nd Street,10453,1922,47,91.8,2582733.5,,BRONX,40.856674,-73.902631,205,BRONX_205
2022,6220301,38 West 182nd Street,10453,1924,36,104.7,5043140.5,6495.6,BRONX,40.857567,-73.906158,205,BRONX_205
2022,6221160,2385 Valentine Avenue,10458,1922,37,114.1,3490654.8,3013.9,BRONX,40.859214,-73.897183,205,BRONX_205
2022,6221214,56-58 West 180th Street,10453,1924,11,140.5,5217711.3,6038.3,BRONX,40.855335,-73.908753,205,BRONX_205
2022,6222284,2314 Morris Ave,10468,1923,9,142.2,3891678.4,3845.9,BRONX,40.858631,-73.90158,205,BRONX_205
2022,6222295,2333 Grand Ave,10468,1926,33,97,3923423.6,6418.7,BRONX,40.860771,-73.90465,207,BRONX_207
2022,6222297,2600 Briggs Ave,10458,1922,46,89.1,3119400.2,2792.3,BRONX,40.864151,-73.893307,207,BRONX_207
2022,6222307,2285 Davidson Ave,10468,1923,70,69.1,3198504.2,2727.4,BRONX,40.859006,-73.904692,207,BRONX_207
2022,6222328,2295 Andrews Ave,10468,1922,70,67.3,2766963.3,4372.4,BRONX,40.861301,-73.907494,207,BRONX_207
2022,6222337,2085 Walton Ave,10453,1927,57,91.3,3976834.7,3421.2,BRONX,40.854223,-73.90578,205,BRONX_205
2022,6222464,2432 University Ave,10468,1921,100,17.9,731674.7,3563.4,BRONX,40.863593,-73.904393,207,BRONX_207
2022,6222490,2356 Walton Avenue,10468,1921,28,115.3,3057793.5,3680.7,BRONX,40.859712,-73.901958,205,BRONX_205
2022,6222514,2240 Walton Ave,10453,1993,42,79.4,3647385.2,2846.3,BRONX,40.857378,-73.903386,205,BRONX_205
2022,6222520,2270 Walton Ave,10453,1993,24,116.2,5809109.6,,BRONX,40.857841,-73.903103,205,BRONX_205
2022,6222650,2380 Ryer Ave,10458,1925,14,114.9,3389947.4,3834.5,BRONX,40.859415,-73.898029,205,BRONX_205
2022,6245401,1830 Amethyst Street,10462,1990,21,108,3753988.3,,BRONX,40.845738,-73.868076,211,BRONX_211
2022,6245408,814 East 181st Street,10460,1931,100,18.5,614574.7,2530.9,BRONX,40.847136,-73.884526,206,BRONX_206
2022,6810329,2848 Bainbridge Ave,10458,1964,79,51.1,8808615,9242.2,BRONX,40.868806,-73.887768,207,BRONX_207
2022,6810402,220 East 197th Street,10458,1925,14,111.6,6763786.5,,BRONX,40.869015,-73.89092,207,BRONX_207
2022,20652344,713 Tilden St,10467,2004,99,36.7,1558072,2379.9,BRONX,40.876845,-73.864377,212,BRONX_212
2022,20660522,909 Beck St,10459,2021,63,75.1,5725525.1,3021.6,BRONX,40.819642,-73.895315,202,BRONX_202
2022,20660565,2885 Marion Ave,10458,2021,29,104.6,4752361.4,,BRONX,40.868482,-73.88506,207,BRONX_207
2022,21052857,2885 Marion Avenue,10458,2021,29,104.6,4752890.3,,BRONX,40.868482,-73.88506,207,BRONX_207
2022,6587064,1691 EASTBURN AVE,10457,1937,53,91.2,3032856.9,,BRONX,40.844177,-73.908534,204,BRONX_204
2022,6587065,1363 FINDLAY AVE,10456,1930,50,92.7,4908393.9,6698.1,BRONX,40.836795,-73.909798,204,BRONX_204
2022,6587073,3440 GATES PLACE,10467,1931,13,112.6,5519338.7,5015.7,BRONX,40.882896,-73.883618,207,BRONX_207
2022,6587825,1758 EASTBURN AVE,10457,1927,50,94.8,3754293.7,5995.6,BRONX,40.846378,-73.908325,205,BRONX_205
2022,6587839,1460 COLLEGE AVE,10457,1937,46,93.2,4307488.5,7990.7,BRONX,40.839067,-73.909661,204,BRONX_204
2022,6793373,1151 Elder Ave,10472,1928,52,100.5,3919757.7,5928.4,BRONX,40.827322,-73.878891,209,BRONX_209
2022,6793401,1105 Stratford Ave,10472,1929,48,92.9,4420034.9,5519.1,BRONX,40.826725,-73.874932,209,BRONX_209
2022,6599301,436 new york ave,11225,1927,55,97.9,4055410.6,5872.2,BROOKLYN,40.664772,-73.948199,309,BROOKLYN_309
2022,6599304,8300 4 AVE,11209,1929,51,111,5615989,3169.7,BROOKLYN,40.624921,-74.02749,310,BROOKLYN_310
2022,6599838,1350 EAST 18 STREET,11230,1925,19,123.7,4077051.1,361.6,BROOKLYN,40.617332,-73.957007,314,BROOKLYN_314
2022,6599842,35 LINDEN BLVD,11226,1930,67,71.1,4685676.5,5071.9,BROOKLYN,40.652227,-73.957802,314,BROOKLYN_314
2022,6599845,909 AV T,11223,1927,70,79.8,2094572.6,,BROOKLYN,40.600492,-73.962326,315,BROOKLYN_315
2022,6599847,860 E 18 ST,11230,1963,37,108.4,3510882.5,2705,BROOKLYN,40.629844,-73.959373,314,BROOKLYN_314
2022,6599850,357 AV P,11204,1928,67,94.2,4070344.4,4049.8,BROOKLYN,40.608661,-73.974483,311,BROOKLYN_311
2022,6599853,2530 OCEAN AVE,11229,1926,12,116.7,4507149,2498.5,BROOKLYN,40.600041,-73.951541,315,BROOKLYN_315
2022,6809036,556 Parkside Ave,11226,1917,100,14.2,419607.9,2817.5,BROOKLYN,40.655964,-73.954812,309,BROOKLYN_309
2022,6809066,1014 Ave J,11230,1924,54,88.7,4558178.5,4330.4,BROOKLYN,40.624675,-73.965918,312,BROOKLYN_312
2022,6933365,566 Parkside Ave,11226,1931,1,198.4,5158355.5,4212,BROOKLYN,40.655978,-73.954578,309,BROOKLYN_309
2022,14759491,800 Ave. H,11230,1938,62,82,6633124.8,3236.1,BROOKLYN,40.62924,-73.96879,314,BROOKLYN_314
2022,6619851,248 WALLABOUT ST,11206,2001,90,35.8,1583309.1,1582.9,BROOKLYN,40.700182,-73.953087,301,BROOKLYN_301
2022,6619860,260 SKILLMAN ST,11205,2006,58,57.6,2252554.9,4055.6,BROOKLYN,40.690313,-73.956271,303,BROOKLYN_303
2022,6631409,70 Lorimer Street,11206,2014,100,23,2506832.9,4065.1,BROOKLYN,40.701469,-73.951705,301,BROOKLYN_301
2022,7147021,709 Hart Street,11221,2017,90,37.6,998419.4,,BROOKLYN,40.699426,-73.92521,304,BROOKLYN_304
2022,11277001,54 Throop Ave.,11206,2019,26,77.2,2482841.8,,BROOKLYN,40.703201,-73.947387,301,BROOKLYN_301
2022,15565125,380 WALLABOUT STREET,11206,2019,100,19.8,893785.4,,BROOKLYN,40.702131,-73.9479,301,BROOKLYN_301
2022,15893990,846 Prospect Place,11216,1905,77,72.6,1961062.5,,BROOKLYN,40.674226,-73.948628,308,BROOKLYN_308
2022,25789518,400-434 East 52nd Street,10022,1931,79,69.3,38033078.1,19785,MANHATTAN,40.754974,-73.964898,106,MANHATTAN_106
2022,25789698,400 East 52nd Street,10022,1931,2,166.5,29663920.5,3465.7,MANHATTAN,40.754974,-73.964898,106,MANHATTAN_106
2022,25789705,414 East 52nd Street,10022,1931,1,80.1,8206993.9,2475.6,MANHATTAN,40.754886,-73.964689,106,MANHATTAN_106
2022,25789715,424 East 52nd Street,10022,1930,100,0.8,73081,1987.7,MANHATTAN,40.75482,-73.964541,106,MANHATTAN_106
2022,25789720,433 East 51st Street,10022,1930,100,0.5,44069.8,1853.6,MANHATTAN,40.754049,-73.964599,106,MANHATTAN_106
2022,25789721,434 East 52nd Street,10022,1930,100,0.5,45012.9,10002.3,MANHATTAN,40.754757,-73.964389,106,MANHATTAN_106
2022,2491901,1740 Grand avenue,10456,1940,60,88.4,9502218.6,9258.6,BRONX,40.849226,-73.913511,205,BRONX_205
2022,2506974,795 Garden Street,10460,1940,82,81.1,7106281.1,5857.5,BRONX,40.849259,-73.883167,206,BRONX_206
2022,2506975,595 E. 167th Street,10456,1940,54,97,6411432.3,9036.5,BRONX,40.828534,-73.90436,203,BRONX_203
2022,3251415,2828 Decatur Avenue,10458,1991,93,54.8,4655612.7,2649.6,BRONX,40.867185,-73.885562,207,BRONX_207
2022,4399977,2010 grand ave,10453,1924,65,75.9,3824562.4,7093.8,BRONX,40.853294,-73.910025,205,BRONX_205
2022,4399979,750 Bryant ave,10474,1928,63,101.4,5412524.7,7768.4,BRONX,40.815774,-73.885852,202,BRONX_202
2022,4399980,2249 Morris Ave,10453,1927,48,97.4,5252683.4,6075,BRONX,40.857218,-73.902482,205,BRONX_205
2022,4399981,2031 Hughes ave,10457,2009,51,80.9,5169115.6,3535.6,BRONX,40.847906,-73.891085,206,BRONX_206
2022,4399982,45 West tremont ave,10453,1926,42,97.2,5526753.5,4444.2,BRONX,40.85136,-73.911932,205,BRONX_205
2022,4399983,1807 Clinton ave,10457,1995,74,78,4498788,999.9,BRONX,40.84236,-73.892446,206,BRONX_206
2022,6268594,445 E. 174th Street,10457,1914,65,85,2150556.8,2052.7,BRONX,40.843287,-73.901234,206,BRONX_206
2022,6268596,870 Freeman Street,10459,2004,60,80.9,2784203.8,3356,BRONX,40.830543,-73.894496,203,BRONX_203
2022,6268599,946 College Ave,10456,2007,51,97.4,3627444.8,7399.8,BRONX,40.827366,-73.915935,204,BRONX_204
2022,6268600,2023 Colonial Ave,10461,1930,58,103.5,3904575,4115.9,BRONX,40.853162,-73.828154,210,BRONX_210
2022,6268601,457 E. 187th St,10458,1926,89,72.3,3179580.2,,BRONX,40.857999,-73.892124,206,BRONX_206
2022,6268602,1870 Crotona Ave,10457,2001,73,95.4,2929196.7,2949.1,BRONX,40.8439,-73.892407,206,BRONX_206
2022,6268603,1482 St. Johns Place,11213,1923,100,17.4,552336.1,,BROOKLYN,40.670505,-73.92964,308,BROOKLYN_308
2022,6268604,2065 Davidson Ave,10453,1925,46,114.6,3660899.4,4149.4,BRONX,40.854409,-73.907981,205,BRONX_205
2022,6268606,1247 Flatbush Ave,11226,2007,61,95.9,2418395.6,1627,BROOKLYN,40.639954,-73.955082,314,BROOKLYN_314
